,start_date,end_date,data_points,years,density,trading_days_per_year
HR,1993-05-27,2025-04-11,7803,31.874058863791923,244.80722813949492,244.80722813949492
ZR,1999-09-14,2025-04-11,6411,25.574264202600958,250.6816989615673,250.6816989615673
CT,2000-01-03,2025-04-11,6338,25.270362765229294,250.8076381365114,250.8076381365114
CC,2000-01-03,2025-04-11,6338,25.270362765229294,250.8076381365114,250.8076381365114
KC,2000-01-03,2025-04-11,6336,25.270362765229294,250.7284940411701,250.7284940411701
ZJ,2000-03-14,2025-04-11,6312,25.075975359342916,251.71503439240092,251.71503439240092
SB,2000-03-01,2025-04-11,6299,25.111567419575632,250.84057457479287,250.84057457479287
DX,2000-06-22,2025-04-11,6264,24.802190280629706,252.55833977260184,252.55833977260184
6C,2000-05-23,2025-04-11,6226,24.88432580424367,250.19765650786664,250.19765650786664
PA,1998-09-28,2025-04-11,6216,26.535249828884325,234.2544366487825,234.2544366487825
ES,2000-09-18,2025-04-11,6204,24.56125941136208,252.59291048935458,252.59291048935458
NQ,2000-09-18,2025-04-11,6204,24.56125941136208,252.59291048935458,252.59291048935458
PL,1997-10-29,2025-04-11,6204,27.449691991786448,226.01346499102334,226.01346499102334
ZW,2000-07-17,2025-04-11,6201,24.733744010951405,250.71012286916093,250.71012286916093
RF,1999-09-14,2025-04-11,6198,25.574264202600958,242.35301359597474,242.35301359597474
RP,1999-09-14,2025-04-11,6190,25.574264202600958,242.04019912214966,242.04019912214966
ZC,2000-07-17,2025-04-11,6189,24.733744010951405,250.22495572282486,250.22495572282486
CL,2000-08-23,2025-04-11,6184,24.632443531827516,251.05101700566854,251.05101700566854
NG,2000-08-30,2025-04-11,6182,24.61327857631759,251.16523915461624,251.16523915461624
RY,2000-03-14,2025-04-11,6181,25.075975359342916,246.4909105797576,246.4909105797576
ZS,2000-09-15,2025-04-11,6181,24.569472963723477,251.57234789391575,251.57234789391575
HG,2000-08-30,2025-04-11,6181,24.61327857631759,251.1246106785317,251.1246106785317
HO,2000-09-01,2025-04-11,6179,24.607802874743328,251.09921562082775,251.09921562082775
SI,2000-08-30,2025-04-11,6178,24.61327857631759,251.0027252502781,251.0027252502781
ZF,2000-09-21,2025-04-11,6178,24.553045859000683,251.61847680642285,251.61847680642285
GC,2000-08-30,2025-04-11,6176,24.61327857631759,250.921468298109,250.921468298109
ZB,2000-09-21,2025-04-11,6172,24.553045859000683,251.3741079393399,251.3741079393399
ZN,2000-09-21,2025-04-11,6166,24.553045859000683,251.12973907225694,251.12973907225694
RB,2000-11-01,2025-04-11,6140,24.44079397672827,251.2193346028901,251.2193346028901
6J,2000-09-13,2025-04-11,6129,24.57494866529774,249.400317513369,249.400317513369
6Z,2001-04-03,2025-04-11,5999,24.021902806297057,249.73042511967176,249.73042511967176
OJ,2001-09-17,2025-04-11,5914,23.564681724845997,250.96880446148484,250.96880446148484
YM,2002-04-05,2025-04-11,5795,23.017111567419576,251.76921018199118,251.76921018199118
QG,2002-06-17,2025-04-11,5714,22.817248459958932,250.42458603311735,250.42458603311735
QM,2002-06-17,2025-04-11,5702,22.817248459958932,249.89866810655147,249.89866810655147
SS,2003-03-18,2025-04-11,5564,22.067077344284737,252.14032258064515,252.14032258064515
SY,2003-03-18,2025-04-11,5563,22.067077344284737,252.09500620347393,252.09500620347393
AR,2003-03-18,2025-04-11,5559,22.067077344284737,251.91374069478908,251.91374069478908
SP,2000-09-15,2024-05-15,5549,23.66324435318275,234.498698368622,234.498698368622
NN,2002-01-03,2025-04-11,5296,23.26899383983573,227.5990116484292,227.5990116484292
